name,owner_names,email,phone,address,category,website,entity_type,sos_status,registered_name,google_maps_url,sos_id
The Chrome Bar Boutique Fitness Studio,,info@thechromebar.com,(615) 291-9959,"2809 Dickerson Pike, Nashville, TN 37207",Fitness Studio,http://www.thechromebar.com/,,,CUSTOMER SUPPORT,https://www.google.com/maps/place/The+Chrome+Bar+Boutique+Fitness+Studio/data=!4m7!3m6!1s0x886466670f910617:0x19622fa2adb4722f!8m2!3d36.2181167!4d-86.7621994!16s%2Fg%2F12hps17v9!19sChIJFwaRD2dmZIgRL3K0raIvYhk,
Studio Novo Nashville: Nashville's Original Lagree Fitness Studio,,info@novonashville.com,(629) 777-2764,"99 White Bridge Rd #202, Nashville, TN 37205",Pilates,http://www.novonashville.com/,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/Studio+Novo+Nashville:+Nashville%27s+Original+Lagree+Fitness+Studio/data=!4m7!3m6!1s0x886463d43af5652f:0x735c22482447c75d!8m2!3d36.131653!4d-86.8581443!16s%2Fg%2F1yghd1dd2!19sChIJL2X1OtRjZIgRXcdHJEgiXHM,
Body & Ballet Co | Balletic Pilates & Barre Fitness,,hello@bodyandballet.co,(615) 877-2226,"702 18th Ave S, Nashville, TN 37203",Pilates,https://www.bodyandballet.co/,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/Body+%26+Ballet+Co+%7C+Balletic+Pilates+%26+Barre+Fitness/data=!4m7!3m6!1s0x8864674d06346bc1:0x5ffad37a085bf69b!8m2!3d36.1509338!4d-86.794039!16s%2Fg%2F11w3m4nwjs!19sChIJwWs0Bk1nZIgRm_ZbCHrT-l8,
Studio Goddess,,help@studiogoddess.com,(615) 200-8591,"914 Buchanan St, Nashville, TN 37208",Fitness Studio,http://www.studiogoddess.com/,,,CUSTOMER SUPPORT,https://www.google.com/maps/place/Studio+Goddess/data=!4m7!3m6!1s0x8864668301cb8927:0x18cfadf96734d2d4!8m2!3d36.180582!4d-86.8027421!16s%2Fg%2F1tdn9dqq!19sChIJJ4nLAYNmZIgR1NI0Z_mtzxg,
Club Pilates,,northgulch@clubpilates.com,(615) 733-8080,"402 11th Ave N, Nashville, TN 37203",Pilates,https://www.clubpilates.com/northgulch/?utm_source=google.com&utm_medium=referral&utm_campaign=yext,,,CUSTOMER SUPPORT,https://www.google.com/maps/place/Club+Pilates/data=!4m7!3m6!1s0x8864674cfeb7d637:0x1f7dc0ff3cc86351!8m2!3d36.1626!4d-86.79058!16s%2Fg%2F11gr63wqzs!19sChIJN9a3_kxnZIgRUWPIPP_AfR8,
Studio Pilates International Sylvan Park,,,(615) 948-1927,"405 40th Ave N, Nashville, TN 37209",Pilates,https://www.studiopilates.com/studios/sylvan-park/,,,CUSTOMER SUPPORT,https://www.google.com/maps/place/Studio+Pilates+International+Sylvan+Park/data=!4m7!3m6!1s0x886461099287989d:0x5b90bf9e701dbedd!8m2!3d36.1531596!4d-86.835003!16s%2Fg%2F11w260ytp9!19sChIJnZiHkglhZIgR3b4dcJ6_kFs,
SESSION Pilates - Green Hills,,,(615) 761-8922,"2109 Abbott Martin Rd ste 3 4, Nashville, TN 37215",Pilates,https://sessionpilates.com/,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/SESSION+Pilates+-+Green+Hills/data=!4m7!3m6!1s0x8864656ea647dd07:0x4be1477958c777f7!8m2!3d36.1056488!4d-86.8157324!16s%2Fg%2F11wj5r2qwh!19sChIJB91Hpm5lZIgR93fHWHlH4Us,
Somos Pilates Nashville,,hello@somospilatesnashville.com,(615) 712-9623,"4900 Centennial Blvd Suite 103, Nashville, TN 37209",Pilates,http://somospilatesnashville.com/,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/Somos+Pilates+Nashville/data=!4m7!3m6!1s0x886461ff32b1e593:0xb94b0502066682bc!8m2!3d36.1626681!4d-86.8469183!16s%2Fg%2F11qws4wl_j!19sChIJk-WxMv9hZIgRvIJmBgIFS7k,
Rhoë Pilates,,info@rhoepilates.com,(629) 800-1226,"5300 Centennial Blvd #204, Nashville, TN 37209",Pilates,https://www.rhoepilates.com/,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/Rho%C3%AB+Pilates/data=!4m7!3m6!1s0x8864610de8fa15c5:0x7a9c7463cb134bbb!8m2!3d36.1642188!4d-86.8512066!16s%2Fg%2F11ys45wxyp!19sChIJxRX66A1hZIgRu0sTy2N0nHo,
The Pilates Garage,,kate@pilatesgaragenashville.com,,"2106A Acklen Ave, Nashville, TN 37212",Pilates,http://pilatesgaragenashville.com/,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/The+Pilates+Garage/data=!4m7!3m6!1s0x8864669f86e8d3a7:0xc98807dd9582bd8b!8m2!3d36.1357873!4d-86.801606!16s%2Fg%2F11bylc6wb9!19sChIJp9Pohp9mZIgRi72Cld0HiMk,
